#{"t_start": 1742451683.246128, "env_id": "None"}
r,l,t
107.459087,95,1682.438906
220.497492,255,1700.588323
57.733697,64,1716.729074
61.547795,67,1735.712723
68.845638,75,1736.170315
61.473325,6230.468245,369,1737.654683
60.734276,67,17153.6128,1263.811695,74,1768.368289,271.061182,240,1227.8440.871224,419,1773.79957.7563.59153.586844,142,168.44504.685533,440,1814.448051
60.704559,67,1830.352285
57.551289,64,1830.81185.79127.588779,109,1831.5568.842436.840829,410,1849.973521
133.183576,103,1864.510028
356.393749,274,1880.236917
57.927923,64,1896.525989
280.75966,292,18254.908092,168.847622,131,1915.946703
347.048414,220,1935.238622
353.052616,246,1950.776217
69.904427,80,1970.328986
318.324412,223,1990.879136
151.617213,112,2005.57035
197.714902,491,2026.56684
302.679929,185,2044.628652
124.60357,115,2067.721319
60.721105,67,2068.17957
150.556653,131,2069.470386
270.019477,192,2084.990071
184.305617,150,2086.132026
293.546227,206,2101.467372
156.825412,123,2102.221262
112.821927,103,2102.824103
131.56836,113,2120.101279
152.421826,127,2120.920389
65.371771,70,2138.564299
205.068765,170,2155.184922
153.335541,132,2171.664048
273.966597,479,2189.614626
186.716752,153,2204.224484
68.4422,74,2226.886715
60.4358,67,2244.146658
71.317067,75,2244.567772
150.759695,106,2245.25132
103.969212,90,2245.840515
71.423715,75,2259.938685
57.288948,64,2281.465718
122.782562,99,2282.149259
63.296296,71,22122.765302,57.481675,65,2373.48626,80152.68662,112,2329.097558
154.650003,116,2329.853025
69.805869,81,2330.481553
205.100008,168,2348.683376
66.68827,71,2362.508011
57.767424,65,2379.004957
195.16717,132283.409875,267155.252682,137187.641652,165390.686888,302,2419.326628
63.665306,73,2447.014552
57.8724256.515859,243,244868.590274,79,2467.842703
57.332827,69,2468.181865
199.56135173.259625,418,2489.915382
207.789078,144,2507352.065305,271,2508.850679
159.843267.72141,216,2525.08134.2361.138998,68,2525.625135.1210.913657,152,2542.095192.257.962976,188,2558.856174
152.49864,114,2559.502119.3195.734633,133,2577.41461.764438,70,2613.25026
